cluster,probability
0,0.17652411282984531
1,0.055505004549590536
2,0.014103730664240218
3,0.015013648771610554
4,0.006824385805277525
5,0.17925386715195632
6,0.04777070063694268
7,0.15605095541401273
8,0.1205641492265696
9,0.1483166515013649
10,0.011828935395814377
11,0.014103730664240218
12,0.014558689717925387
13,0.0373066424021838
14,0.0022747952684258415
